"g","Local","Visitante","h_g","a_g","yg1","yg2","Jornada"
1,"Atlético Bucaramanga","Envigado",1,11,0,0,"1"
2,"Unión Magdalena","Huila",2,12,2,1,"1"
3,"Rionegro Águilas","Junior",3,14,1,1,"1"
4,"Chicó","Alianza FC",4,17,2,0,"1"
5,"Tolima","América de Cali",5,16,2,1,"1"
6,"Nacional","Once Caldas",6,15,1,0,"1"
7,"Jaguares FC","Santa Fe",7,18,2,2,"1"
8,"La Equidad","Medellín",8,19,2,1,"1"
9,"Deportivo Cali","Deportivo Pereira",9,13,0,1,"1"
10,"Millonarios","Pasto",10,20,2,0,"1"
11,"Envigado","La Equidad",11,8,1,1,"2"
12,"Huila","Atlético Bucaramanga",12,1,1,2,"2"
13,"Nacional","Rionegro Águilas",6,3,0,0,"2"
14,"Deportivo Pereira","Millonarios",13,10,2,3,"2"
15,"Junior","Medellín",14,19,1,1,"2"
16,"Once Caldas","Tolima",15,5,1,1,"2"
17,"Chicó","Jaguares FC",4,7,1,0,"2"
18,"América de Cali","Unión Magdalena",16,2,4,0,"2"
19,"Alianza FC","Pasto",17,20,3,1,"2"
20,"Santa Fe","Deportivo Cali",18,9,3,0,"2"
21,"Deportivo Pereira","Huila",13,12,2,1,"3"
22,"Medellín","Santa Fe",19,18,1,1,"3"
23,"Jaguares FC","Nacional",7,6,2,1,"3"
24,"Pasto","América de Cali",20,16,2,4,"3"
25,"Deportivo Cali","Once Caldas",9,15,0,0,"3"
26,"Atlético Bucaramanga","Junior",1,14,1,0,"3"
27,"Unión Magdalena","Envigado",2,11,1,1,"3"
28,"Rionegro Águilas","Tolima",3,5,4,2,"3"
29,"La Equidad","Chicó",8,4,2,2,"3"
30,"Millonarios","Alianza FC",10,17,3,1,"3"
31,"Junior","Unión Magdalena",14,2,0,0,"4"
32,"Alianza FC","Huila",17,12,2,0,"4"
33,"Jaguares FC","Atlético Bucaramanga",7,1,1,1,"4"
34,"Envigado","Medellín",11,19,2,1,"4"
35,"Once Caldas","Rionegro Águilas",15,3,1,2,"4"
36,"América de Cali","La Equidad",16,8,1,1,"4"
